epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5219.98,1.5017,1.4469,1.92842,0.87234,0.77774,0.86202,0.43097,1.73739,1.12337,2.25867,0.001307,0.001307,0.001307
44,5340.3,1.48142,1.43924,1.90681,0.91583,0.7372,0.85324,0.43575,1.68366,1.14289,2.23207,0.0012905,0.0012905,0.0012905
45,5462.98,1.49442,1.44753,1.89796,0.84462,0.69377,0.8122,0.36667,1.86545,1.30242,2.40492,0.001274,0.001274,0.001274
46,5584.79,1.50054,1.41306,1.93136,0.87739,0.72629,0.84302,0.43739,1.66417,1.14697,2.13879,0.0012575,0.0012575,0.0012575
47,5707.28,1.47522,1.4251,1.88978,0.83607,0.77507,0.85361,0.42223,1.68289,1.15559,2.18387,0.001241,0.001241,0.001241
48,5830.36,1.47005,1.3928,1.887,0.89617,0.75339,0.86279,0.42721,1.76228,1.08425,2.27202,0.0012245,0.0012245,0.0012245
49,5950.42,1.48695,1.35761,1.89074,0.85974,0.7475,0.84682,0.42178,1.72961,1.21046,2.21914,0.001208,0.001208,0.001208
50,6069.63,1.46044,1.35195,1.87076,0.86335,0.77049,0.8651,0.45527,1.63965,1.0623,2.16874,0.0011915,0.0011915,0.0011915
51,6190.84,1.43924,1.37559,1.87599,0.90432,0.729,0.8542,0.43316,1.70368,1.13969,2.24084,0.001175,0.001175,0.001175
52,6310.67,1.45261,1.34773,1.8582,0.84799,0.78612,0.85808,0.37644,1.9091,1.13025,2.43029,0.0011585,0.0011585,0.0011585
53,6434.8,1.48826,1.37903,1.88569,0.89309,0.72445,0.83659,0.42029,1.71395,1.20527,2.25115,0.001142,0.001142,0.001142
54,6557.87,1.45071,1.33384,1.87222,0.87008,0.76965,0.85138,0.39658,1.85762,1.11486,2.37977,0.0011255,0.0011255,0.0011255
55,6678.99,1.44232,1.34343,1.84827,0.86675,0.81301,0.88633,0.47095,1.63657,1.04337,2.12609,0.001109,0.001109,0.001109
56,6799.7,1.44993,1.34117,1.86474,0.87985,0.774,0.85759,0.4229,1.72445,1.13146,2.28932,0.0010925,0.0010925,0.0010925
57,6920.85,1.44203,1.31685,1.85923,0.86957,0.74081,0.84427,0.41891,1.7748,1.11642,2.31457,0.001076,0.001076,0.001076
