epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1115.18,1.07819,0.68945,1.2103,0.8841,0.86721,0.91861,0.55654,1.39937,0.69785,1.38877,0.0011882,0.0011882,0.0011882
43,1141.56,1.05423,0.66591,1.1996,0.91718,0.81843,0.89533,0.50409,1.54532,0.74454,1.5361,0.0011684,0.0011684,0.0011684
44,1168.51,1.05673,0.67057,1.19991,0.88025,0.8566,0.90692,0.53262,1.46207,0.74247,1.45007,0.0011486,0.0011486,0.0011486
45,1195.23,1.06403,0.66791,1.20157,0.91904,0.83067,0.9154,0.54829,1.44111,0.6829,1.43622,0.0011288,0.0011288,0.0011288
46,1221.81,1.02673,0.66601,1.19227,0.87362,0.88044,0.9052,0.54214,1.46545,0.73155,1.43208,0.001109,0.001109,0.001109
47,1248.93,1.03467,0.6395,1.18998,0.87377,0.86721,0.89915,0.48385,1.56965,0.72493,1.55506,0.0010892,0.0010892,0.0010892
48,1276.4,1.04362,0.65066,1.18995,0.87706,0.86721,0.91136,0.55046,1.4776,0.6913,1.45442,0.0010694,0.0010694,0.0010694
49,1303.27,1.02045,0.62605,1.17712,0.92769,0.86919,0.93194,0.54964,1.40394,0.62371,1.40916,0.0010496,0.0010496,0.0010496
50,1330.04,1.0078,0.6233,1.18032,0.89166,0.84757,0.90782,0.51227,1.51696,0.69422,1.51777,0.0010298,0.0010298,0.0010298
51,1357.19,1.00207,0.61866,1.17331,0.80961,0.84127,0.85614,0.52753,1.49062,0.83526,1.51844,0.00101,0.00101,0.00101
52,1384.43,1.01811,0.62808,1.17997,0.93935,0.88142,0.94041,0.55101,1.42326,0.65776,1.44613,0.0009902,0.0009902,0.0009902
53,1411.42,0.98793,0.59733,1.16266,0.92661,0.84824,0.9286,0.55038,1.46628,0.65721,1.45976,0.0009704,0.0009704,0.0009704
54,1438.4,0.996,0.61911,1.17418,0.88079,0.88076,0.90755,0.5367,1.48724,0.68061,1.48518,0.0009506,0.0009506,0.0009506
55,1465.61,0.96946,0.61052,1.15928,0.91046,0.84553,0.91109,0.50299,1.62161,0.75899,1.59838,0.0009308,0.0009308,0.0009308
56,1492.53,0.96842,0.5878,1.15862,0.87619,0.82471,0.88576,0.50371,1.54703,0.77378,1.55922,0.000911,0.000911,0.000911
57,1519.08,0.97571,0.59709,1.15273,0.92266,0.85637,0.90147,0.49959,1.57728,0.74839,1.55864,0.0008912,0.0008912,0.0008912
58,1546.89,0.98497,0.61322,1.16702,0.89255,0.88618,0.92286,0.51891,1.53134,0.64693,1.52382,0.0008714,0.0008714,0.0008714
59,1574.67,0.98265,0.61303,1.16326,0.88136,0.88076,0.88388,0.50861,1.50428,0.73502,1.50286,0.0008516,0.0008516,0.0008516
60,1601.83,0.95174,0.57562,1.14243,0.83892,0.86095,0.87719,0.52161,1.56855,0.77569,1.61341,0.0008318,0.0008318,0.0008318
61,1628.47,0.95137,0.57279,1.14879,0.8422,0.84282,0.86167,0.50053,1.54745,0.80415,1.58545,0.000812,0.000812,0.000812
62,1655.7,0.93538,0.57573,1.13944,0.90153,0.89431,0.92917,0.54747,1.43468,0.63491,1.44691,0.0007922,0.0007922,0.0007922
63,1682.88,0.93933,0.57649,1.13904,0.90298,0.8645,0.91805,0.53218,1.50724,0.68961,1.53322,0.0007724,0.0007724,0.0007724
64,1710.01,0.9421,0.56793,1.14103,0.86092,0.88907,0.90502,0.55116,1.41944,0.71079,1.44456,0.0007526,0.0007526,0.0007526
65,1737.12,0.93029,0.55808,1.13931,0.869,0.85908,0.89388,0.54282,1.49484,0.76827,1.51668,0.0007328,0.0007328,0.0007328
66,1764.01,0.88306,0.52515,1.11052,0.89291,0.86179,0.90899,0.53019,1.48572,0.71326,1.53247,0.000713,0.000713,0.000713
67,1791.36,0.93178,0.54675,1.13376,0.88784,0.87534,0.91266,0.52897,1.52929,0.7136,1.57662,0.0006932,0.0006932,0.0006932
68,1817.93,0.91906,0.54987,1.12491,0.90813,0.8645,0.90798,0.51476,1.50508,0.71412,1.53004,0.0006734,0.0006734,0.0006734
69,1845.46,0.89942,0.52778,1.12042,0.96172,0.88507,0.93238,0.54393,1.48844,0.63376,1.4867,0.0006536,0.0006536,0.0006536
70,1871.95,0.88631,0.52453,1.11302,0.89176,0.86179,0.89869,0.52565,1.52953,0.68804,1.54261,0.0006338,0.0006338,0.0006338
71,1899.06,0.88561,0.50944,1.10234,0.92376,0.85368,0.91749,0.549,1.45936,0.64028,1.48363,0.000614,0.000614,0.000614
72,1926.49,0.87988,0.51534,1.10523,0.90849,0.89702,0.92386,0.53654,1.54008,0.64483,1.57373,0.0005942,0.0005942,0.0005942
73,1953.07,0.88189,0.51509,1.10452,0.92504,0.90297,0.92832,0.53626,1.51135,0.61242,1.55299,0.0005744,0.0005744,0.0005744
74,1979.95,0.87201,0.51268,1.10632,0.93501,0.8967,0.92757,0.5545,1.46065,0.58699,1.49445,0.0005546,0.0005546,0.0005546
75,2006.69,0.85442,0.5136,1.09416,0.92597,0.8916,0.93136,0.56002,1.45377,0.6181,1.52715,0.0005348,0.0005348,0.0005348
76,2034.03,0.8592,0.49662,1.09943,0.94336,0.90265,0.94002,0.55149,1.46338,0.59181,1.50818,0.000515,0.000515,0.000515
77,2060.75,0.8503,0.50207,1.09343,0.93059,0.89702,0.93688,0.55613,1.46866,0.60469,1.51899,0.0004952,0.0004952,0.0004952
78,2088.74,0.87372,0.5315,1.10165,0.88641,0.86706,0.9027,0.54026,1.52697,0.69767,1.5852,0.0004754,0.0004754,0.0004754
79,2115.69,0.84932,0.51197,1.10303,0.92797,0.86179,0.91756,0.52653,1.57415,0.65747,1.62909,0.0004556,0.0004556,0.0004556
80,2143.33,0.8344,0.49483,1.09186,0.93508,0.87534,0.92234,0.5361,1.51364,0.63262,1.55965,0.0004358,0.0004358,0.0004358
81,2170.49,0.82524,0.48674,1.08575,0.90704,0.87256,0.91056,0.54043,1.52328,0.64408,1.57594,0.000416,0.000416,0.000416
82,2197.81,0.82564,0.48342,1.08881,0.8816,0.88786,0.8959,0.5187,1.53914,0.68801,1.59614,0.0003962,0.0003962,0.0003962
83,2224.87,0.82066,0.4762,1.0836,0.91767,0.90616,0.92547,0.54431,1.47823,0.60575,1.54035,0.0003764,0.0003764,0.0003764
84,2252.19,0.80538,0.46733,1.07853,0.93959,0.88523,0.92345,0.52814,1.48967,0.63246,1.52409,0.0003566,0.0003566,0.0003566
85,2278.8,0.79978,0.47009,1.0829,0.92863,0.88618,0.9341,0.55631,1.42585,0.59778,1.46438,0.0003368,0.0003368,0.0003368
86,2305.81,0.80161,0.45438,1.06992,0.90391,0.88076,0.90609,0.53904,1.53531,0.6628,1.5698,0.000317,0.000317,0.000317
87,2333.04,0.78689,0.45227,1.06187,0.93236,0.89649,0.92536,0.55182,1.44758,0.60624,1.49387,0.0002972,0.0002972,0.0002972
88,2360.59,0.7875,0.46221,1.07968,0.92955,0.89396,0.92261,0.55608,1.45364,0.61506,1.49171,0.0002774,0.0002774,0.0002774
89,2386.97,0.79292,0.4598,1.06449,0.93631,0.90515,0.93743,0.56003,1.4527,0.59441,1.48769,0.0002576,0.0002576,0.0002576
90,2414.02,0.79122,0.4646,1.07281,0.91512,0.88076,0.92142,0.53559,1.55188,0.656,1.59111,0.0002378,0.0002378,0.0002378
91,2443.37,0.63553,0.35027,1.00152,0.88865,0.88676,0.914,0.5316,1.55634,0.67224,1.62189,0.000218,0.000218,0.000218
92,2470.52,0.61336,0.31809,0.97878,0.92321,0.87966,0.93217,0.55547,1.51307,0.65249,1.58201,0.0001982,0.0001982,0.0001982
93,2497.15,0.63122,0.32157,0.97627,0.95481,0.85895,0.93142,0.54588,1.52965,0.65142,1.62895,0.0001784,0.0001784,0.0001784
94,2524.34,0.6059,0.31549,0.97372,0.95462,0.85517,0.93136,0.55388,1.48163,0.63916,1.57104,0.0001586,0.0001586,0.0001586
95,2550.44,0.60913,0.31857,0.98602,0.96147,0.85366,0.92984,0.56046,1.44245,0.61937,1.53526,0.0001388,0.0001388,0.0001388
96,2577.06,0.58246,0.29907,0.96909,0.95869,0.85366,0.93296,0.55862,1.44251,0.6356,1.53007,0.000119,0.000119,0.000119
97,2603.69,0.57364,0.2946,0.96365,0.96452,0.85908,0.93961,0.56243,1.43902,0.61258,1.5223,9.92e-05,9.92e-05,9.92e-05
98,2629.93,0.56144,0.29338,0.96108,0.92646,0.88764,0.93977,0.56116,1.44446,0.63087,1.52108,7.94e-05,7.94e-05,7.94e-05
99,2655.96,0.56732,0.29348,0.95769,0.94947,0.86571,0.93591,0.55563,1.44844,0.63859,1.52573,5.96e-05,5.96e-05,5.96e-05
100,2682.84,0.55992,0.28998,0.95184,0.95973,0.85366,0.93019,0.55485,1.44412,0.63834,1.52146,3.98e-05,3.98e-05,3.98e-05
